order_item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,47,1,359.13,0.0
2,2,44,3,270.79,0.0
3,2,10,1,418.35,0.1
4,3,25,1,430.21,0.0
5,4,53,1,280.66,0.0
6,5,35,1,62.83,0.0
7,6,46,1,210.09,0.05
8,7,24,1,439.98,0.0
9,8,27,1,228.1,0.0
10,9,56,2,448.94,0.0
11,10,51,1,25.91,0.2
12,11,24,1,439.98,0.2
13,11,41,3,409.66,0.0
14,11,69,1,98.01,0.0
15,12,18,1,44.33,0.0
16,13,58,1,370.96,0.1
17,14,2,2,225.21,0.15
18,14,64,1,401.71,0.2
19,14,4,1,188.28,0.0
20,15,56,1,448.94,0.05
21,15,6,1,416.95,0.05
22,16,56,2,448.94,0.0
23,17,47,1,359.13,0.0
24,17,44,2,270.79,0.0
25,18,19,1,412.27,0.15
26,19,26,1,326.44,0.1
27,20,65,1,299.72,0.0
28,21,45,1,70.43,0.15
29,22,8,1,178.2,0.0
30,23,26,1,326.44,0.05
31,23,67,1,239.77,0.05
32,24,15,3,159.55,0.15
33,24,53,2,280.66,0.0
34,25,19,3,412.27,0.05
35,25,28,1,324.88,0.0
36,26,9,1,199.05,0.0
37,26,23,1,411.01,0.0
38,26,6,1,416.95,0.05
39,26,30,2,431.14,0.0
40,27,47,1,359.13,0.0
41,28,25,1,430.21,0.05
42,29,31,1,109.88,0.0
43,29,29,1,259.96,0.0
44,30,60,2,133.04,0.1
45,30,2,2,225.21,0.15
46,31,34,1,327.63,0.0
47,32,34,1,327.63,0.0
48,33,21,1,134.9,0.0
49,33,27,1,228.1,0.1
50,33,51,2,25.91,0.05
51,34,49,1,399.06,0.0
52,34,31,2,109.88,0.0
53,35,28,1,324.88,0.0
54,36,67,1,239.77,0.0
55,36,51,1,25.91,0.2
56,36,37,2,131.27,0.0
57,37,45,1,70.43,0.0
58,38,9,1,199.05,0.0
59,38,49,1,399.06,0.0
60,39,45,2,70.43,0.1
61,39,33,2,233.82,0.05
62,40,16,1,230.72,0.05
63,41,2,1,225.21,0.2
64,42,54,2,180.14,0.1
65,42,46,1,210.09,0.0
66,43,67,1,239.77,0.2
67,44,33,1,233.82,0.1
68,44,24,1,439.98,0.1
69,44,26,1,326.44,0.0
70,44,61,3,404.71,0.0
71,45,11,1,71.32,0.0
72,46,32,3,200.98,0.1
73,46,45,1,70.43,0.0
74,47,36,1,95.73,0.05
75,48,21,1,134.9,0.15
76,49,70,2,92.51,0.0
77,49,46,1,210.09,0.0
78,50,14,1,247.01,0.0
79,50,59,1,360.15,0.0
80,51,31,1,109.88,0.1
81,52,17,2,396.49,0.0
82,53,54,2,180.14,0.2
83,53,70,1,92.51,0.0
84,53,9,1,199.05,0.05
85,54,17,1,396.49,0.2
86,54,37,1,131.27,0.0
87,55,10,1,418.35,0.0
88,56,56,3,448.94,0.0
89,56,26,1,326.44,0.0
90,57,62,1,80.44,0.0
91,57,58,1,370.96,0.1
92,57,5,1,441.19,0.0
93,58,39,1,78.78,0.0
94,58,41,1,409.66,0.0
95,58,7,1,290.09,0.0
96,59,56,1,448.94,0.0
97,60,49,1,399.06,0.1
98,61,27,1,228.1,0.2
99,62,30,2,431.14,0.0
100,62,7,1,290.09,0.1
101,63,52,1,372.88,0.2
102,63,61,1,404.71,0.15
103,64,16,2,230.72,0.0
104,64,11,1,71.32,0.0
105,64,14,1,247.01,0.0
106,64,5,1,441.19,0.0
107,65,15,1,159.55,0.0
108,65,36,1,95.73,0.0
109,66,51,2,25.91,0.0
110,66,27,1,228.1,0.0
111,66,13,1,288.11,0.0
112,67,53,2,280.66,0.2
113,67,29,1,259.96,0.1
114,68,22,1,410.91,0.05
115,69,60,1,133.04,0.05
116,70,41,1,409.66,0.0
117,71,32,1,200.98,0.0
118,72,53,1,280.66,0.05
119,73,3,2,156.81,0.0
120,74,13,1,288.11,0.0
121,75,52,1,372.88,0.1
122,75,31,1,109.88,0.0
123,76,29,2,259.96,0.05
124,77,14,1,247.01,0.15
125,77,34,1,327.63,0.1
126,78,65,2,299.72,0.1
127,78,48,1,67.66,0.0
128,79,10,1,418.35,0.1
129,79,48,1,67.66,0.0
130,79,40,2,85.38,0.0
131,80,63,1,394.04,0.05
132,81,28,1,324.88,0.0
133,82,20,1,79.38,0.0
134,83,60,2,133.04,0.0
135,84,21,2,134.9,0.0
136,85,45,1,70.43,0.0
137,86,4,1,188.28,0.0
138,87,21,1,134.9,0.0
139,88,32,1,200.98,0.1
140,88,57,2,100.82,0.0
141,88,45,1,70.43,0.0
142,89,45,1,70.43,0.0
143,89,34,1,327.63,0.0
144,90,47,1,359.13,0.2
145,91,57,1,100.82,0.0
146,92,14,2,247.01,0.0
147,93,45,1,70.43,0.0
148,93,20,2,79.38,0.0
149,94,3,1,156.81,0.05
150,95,53,1,280.66,0.0
151,96,26,1,326.44,0.0
152,97,1,1,374.81,0.05
153,97,64,1,401.71,0.05
154,97,11,2,71.32,0.2
155,98,68,1,238.62,0.0
156,99,23,1,411.01,0.0
157,100,68,1,238.62,0.0
158,101,60,1,133.04,0.2
159,102,19,1,412.27,0.05
160,103,61,1,404.71,0.0
161,103,54,1,180.14,0.1
162,103,47,1,359.13,0.05
163,103,62,1,80.44,0.05
164,104,53,1,280.66,0.1
165,104,72,1,139.44,0.1
166,105,27,1,228.1,0.0
167,106,25,2,430.21,0.1
168,106,13,2,288.11,0.05
169,107,42,1,232.44,0.1
170,108,40,2,85.38,0.05
171,109,61,1,404.71,0.0
172,110,19,1,412.27,0.0
173,111,12,2,206.84,0.15
174,111,10,3,418.35,0.05
175,112,56,1,448.94,0.0
176,113,68,1,238.62,0.0
177,114,72,1,139.44,0.05
178,114,13,1,288.11,0.0
179,115,15,1,159.55,0.0
180,116,41,1,409.66,0.05
181,116,3,1,156.81,0.0
182,117,24,1,439.98,0.0
183,118,44,1,270.79,0.2
184,118,35,1,62.83,0.0
185,118,40,2,85.38,0.1
186,119,68,1,238.62,0.0
187,120,61,1,404.71,0.1
188,121,4,2,188.28,0.0
189,121,51,1,25.91,0.0
190,121,60,1,133.04,0.0
191,121,42,1,232.44,0.0
192,122,18,1,44.33,0.05
193,122,59,1,360.15,0.0
194,123,42,1,232.44,0.1
195,124,67,1,239.77,0.0
196,124,26,1,326.44,0.0
197,124,68,1,238.62,0.1
198,125,60,1,133.04,0.0
199,125,22,1,410.91,0.05
200,125,14,1,247.01,0.0
201,125,6,1,416.95,0.0
202,126,47,1,359.13,0.05
203,126,7,1,290.09,0.0
204,127,68,1,238.62,0.1
205,128,68,1,238.62,0.0
206,128,48,1,67.66,0.1
207,128,54,1,180.14,0.0
208,129,38,1,173.95,0.0
209,130,49,1,399.06,0.0
210,131,30,3,431.14,0.0
211,132,66,1,46.76,0.0
212,133,1,1,374.81,0.0
213,134,32,1,200.98,0.0
214,134,63,2,394.04,0.0
215,134,9,1,199.05,0.2
216,134,72,1,139.44,0.15
217,135,9,1,199.05,0.0
218,136,34,1,327.63,0.1
219,136,23,1,411.01,0.05
220,136,24,1,439.98,0.0
221,137,47,2,359.13,0.0
222,137,49,1,399.06,0.0
223,138,1,1,374.81,0.0
224,139,53,1,280.66,0.0
225,140,33,1,233.82,0.1
226,140,52,1,372.88,0.0
227,141,47,1,359.13,0.1
228,141,31,1,109.88,0.0
229,141,13,1,288.11,0.0
230,142,53,1,280.66,0.2
231,143,55,1,238.87,0.0
232,144,59,2,360.15,0.2
233,144,21,2,134.9,0.1
234,144,2,2,225.21,0.0
235,145,63,1,394.04,0.0
236,145,70,1,92.51,0.2
237,146,4,1,188.28,0.0
238,147,65,1,299.72,0.2
239,147,66,1,46.76,0.1
240,147,19,1,412.27,0.0
241,147,59,1,360.15,0.0
242,148,66,1,46.76,0.0
243,148,6,1,416.95,0.15
244,149,51,3,25.91,0.1
245,149,12,1,206.84,0.0
246,149,24,1,439.98,0.15
247,150,1,3,374.81,0.2
248,151,22,1,410.91,0.0
249,152,66,1,46.76,0.0
250,152,59,3,360.15,0.1
251,153,37,1,131.27,0.05
252,154,72,1,139.44,0.0
253,154,4,1,188.28,0.0
254,154,38,1,173.95,0.0
255,155,20,1,79.38,0.15
256,155,10,2,418.35,0.1
257,155,22,1,410.91,0.0
258,156,16,1,230.72,0.1
259,157,23,2,411.01,0.0
260,158,67,2,239.77,0.05
261,159,63,1,394.04,0.0
262,159,27,2,228.1,0.2
263,160,70,1,92.51,0.2
264,160,34,1,327.63,0.0
265,160,45,1,70.43,0.0
266,161,29,2,259.96,0.1
267,162,45,1,70.43,0.0
268,162,63,1,394.04,0.0
269,163,60,1,133.04,0.0
270,164,31,1,109.88,0.0
271,165,52,1,372.88,0.2
272,166,40,1,85.38,0.05
273,167,64,1,401.71,0.0
274,168,49,1,399.06,0.0
275,168,55,1,238.87,0.0
276,169,37,1,131.27,0.05
277,169,64,1,401.71,0.15
278,170,21,1,134.9,0.15
279,170,20,1,79.38,0.0
280,171,52,1,372.88,0.0
281,172,20,1,79.38,0.0
282,172,15,1,159.55,0.0
283,173,17,1,396.49,0.0
284,173,39,1,78.78,0.0
285,174,66,1,46.76,0.2
286,175,10,1,418.35,0.0
287,176,58,1,370.96,0.0
288,176,72,1,139.44,0.0
289,177,30,1,431.14,0.1
290,178,60,1,133.04,0.0
291,179,31,2,109.88,0.0
292,179,1,1,374.81,0.0
293,180,72,1,139.44,0.1
294,180,12,1,206.84,0.0
295,181,19,1,412.27,0.15
296,181,32,1,200.98,0.1
297,181,51,1,25.91,0.0
298,182,53,2,280.66,0.0
299,183,38,2,173.95,0.05
300,183,46,1,210.09,0.15
301,183,65,1,299.72,0.05
302,184,7,1,290.09,0.0
303,185,27,1,228.1,0.05
304,185,54,1,180.14,0.05
305,186,45,3,70.43,0.0
306,186,54,1,180.14,0.0
307,186,26,1,326.44,0.15
308,186,61,3,404.71,0.15
309,187,65,1,299.72,0.0
310,188,22,1,410.91,0.0
311,189,68,2,238.62,0.0
312,190,36,1,95.73,0.0
313,190,8,2,178.2,0.0
314,190,23,1,411.01,0.2
315,190,33,1,233.82,0.1
316,191,43,1,246.42,0.0
317,191,38,1,173.95,0.0
318,191,63,1,394.04,0.0
319,192,18,1,44.33,0.05
320,193,43,2,246.42,0.05
321,194,66,1,46.76,0.1
322,195,64,1,401.71,0.0
323,195,49,1,399.06,0.0
324,196,69,1,98.01,0.05
325,196,27,1,228.1,0.0
326,196,2,1,225.21,0.0
327,196,29,1,259.96,0.1
328,197,38,2,173.95,0.1
329,198,32,1,200.98,0.0
330,198,16,1,230.72,0.0
331,199,10,1,418.35,0.05
332,199,37,1,131.27,0.0
333,200,67,2,239.77,0.0
334,201,56,3,448.94,0.1
335,202,72,1,139.44,0.15
336,203,33,1,233.82,0.0
337,204,72,1,139.44,0.05
338,204,28,1,324.88,0.05
339,205,60,2,133.04,0.0
340,205,70,1,92.51,0.0
341,205,38,1,173.95,0.0
342,205,14,1,247.01,0.0
343,206,54,1,180.14,0.0
344,206,24,1,439.98,0.0
345,206,70,1,92.51,0.05
346,206,43,1,246.42,0.0
347,207,30,1,431.14,0.0
348,207,17,2,396.49,0.0
349,208,22,2,410.91,0.1
350,208,7,1,290.09,0.0
351,208,44,1,270.79,0.2
352,209,71,2,438.52,0.0
353,210,43,1,246.42,0.05
354,211,23,1,411.01,0.0
355,212,19,1,412.27,0.0
356,212,65,3,299.72,0.0
357,213,8,2,178.2,0.0
358,214,67,2,239.77,0.15
359,215,13,1,288.11,0.0
360,216,18,1,44.33,0.05
361,217,48,1,67.66,0.0
362,218,2,2,225.21,0.0
363,219,25,1,430.21,0.0
364,220,10,1,418.35,0.0
365,221,46,1,210.09,0.0
366,222,62,2,80.44,0.0
367,222,12,1,206.84,0.0
368,222,67,1,239.77,0.0
369,223,13,3,288.11,0.0
