order_id,customer_id,order_status,order_timestamp,device_type,shipping_cost
1,40,processing,2025-03-23 08:46:00,Desktop,0.0
2,1135,processing,2024-07-31 00:31:00,Mobile,0.0
3,1749,cancelled,2023-07-19 20:59:00,Desktop,0.0
4,2310,completed,2024-01-03 18:36:00,Desktop,5.99
5,553,completed,2025-02-10 18:24:00,Tablet,0.0
6,1763,completed,2025-08-17 08:37:00,Desktop,14.99
7,1807,returned,2024-12-04 15:19:00,Mobile,5.99
8,1775,returned,2025-06-03 13:05:00,Desktop,0.0
9,1971,completed,2024-11-18 23:47:00,Mobile,0.0
10,1236,completed,2023-11-13 10:18:00,Tablet,0.0
11,2226,returned,2024-11-24 06:09:00,Tablet,5.99
12,1694,returned,2025-09-06 11:34:00,Mobile,5.99
13,10,completed,2024-04-18 05:22:00,Mobile,5.99
14,904,returned,2024-07-01 14:35:00,Mobile,5.99
15,1054,completed,2023-06-16 07:48:00,Desktop,0.0
16,2290,completed,2024-11-23 04:40:00,Desktop,5.99
17,82,completed,2023-10-28 01:01:00,Desktop,5.99
18,1270,completed,2024-04-28 01:47:00,Desktop,0.0
19,1557,completed,2025-04-03 10:09:00,Mobile,0.0
20,527,completed,2024-04-22 17:52:00,Mobile,9.99
21,2134,cancelled,2024-11-03 06:53:00,Mobile,5.99
22,2235,completed,2023-12-26 02:33:00,Mobile,9.99
23,1983,completed,2023-12-13 20:20:00,Mobile,5.99
24,320,returned,2025-10-04 11:08:00,Desktop,5.99
25,1618,cancelled,2024-11-07 23:39:00,Mobile,5.99
26,2123,completed,2024-08-14 15:57:00,Tablet,9.99
27,876,completed,2024-05-26 08:04:00,Mobile,0.0
28,2203,completed,2024-02-26 11:11:00,Desktop,0.0
29,2093,completed,2025-09-13 05:05:00,Mobile,9.99
30,1865,returned,2023-07-01 05:48:00,Tablet,0.0
31,2055,completed,2023-01-07 18:50:00,Mobile,0.0
32,1302,processing,2024-01-27 08:20:00,Desktop,0.0
33,640,returned,2025-09-20 17:52:00,Desktop,14.99
34,1451,completed,2024-05-10 09:11:00,Desktop,0.0
35,1060,completed,2024-10-22 05:21:00,Desktop,0.0
36,2297,cancelled,2024-05-10 06:10:00,Desktop,0.0
37,331,completed,2024-06-14 12:26:00,Mobile,0.0
